Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),10,%,Growth,Screener
Compounded Sales Growth (5 Years),18,%,Growth,Screener
Compounded Sales Growth (3 Years),11,%,Growth,Screener
Compounded Sales Growth (TTM),14,%,Growth,Screener
Compounded Profit Growth (10 Years),20,%,Growth,Screener
Compounded Profit Growth (5 Years),58,%,Growth,Screener
Compounded Profit Growth (3 Years),2,%,Growth,Screener
Compounded Profit Growth (TTM),40,%,Growth,Screener
Stock Price CAGR (10 Years),29,%,Valuation,Screener
Stock Price CAGR (5 Years),22,%,Valuation,Screener
Stock Price CAGR (3 Years),31,%,Valuation,Screener
Stock Price CAGR (1 Year),46,%,Valuation,Screener
Return on Equity (10 Years),5,%,Profitability,Screener
Return on Equity (5 Years),7,%,Profitability,Screener
Return on Equity (3 Years),7,%,Profitability,Screener
Return on Equity (Last Year),9,%,Profitability,Screener
