Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),7,%,Growth,Screener
Compounded Sales Growth (5 Years),9,%,Growth,Screener
Compounded Sales Growth (3 Years),7,%,Growth,Screener
Compounded Sales Growth (TTM),7,%,Growth,Screener
Compounded Profit Growth (10 Years),15,%,Growth,Screener
Compounded Profit Growth (5 Years),17,%,Growth,Screener
Compounded Profit Growth (3 Years),18,%,Growth,Screener
Stock Price CAGR (10 Years),10,%,Valuation,Screener
Stock Price CAGR (5 Years),11,%,Valuation,Screener
Stock Price CAGR (3 Years),14,%,Valuation,Screener
Return on Equity (10 Years),13,%,Profitability,Screener
Return on Equity (5 Years),14,%,Profitability,Screener
Return on Equity (3 Years),14,%,Profitability,Screener
Return on Equity (Last Year),16,%,Profitability,Screener
