Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),9,%,Growth,Screener
Compounded Sales Growth (5 Years),3,%,Growth,Screener
Compounded Sales Growth (3 Years),1,%,Growth,Screener
Compounded Sales Growth (TTM),1,%,Growth,Screener
Compounded Profit Growth (10 Years),12,%,Growth,Screener
Compounded Profit Growth (5 Years),10,%,Growth,Screener
Compounded Profit Growth (3 Years),2,%,Growth,Screener
Compounded Profit Growth (TTM),4,%,Growth,Screener
Stock Price CAGR (10 Years),15,%,Valuation,Screener
Stock Price CAGR (5 Years),19,%,Valuation,Screener
Stock Price CAGR (3 Years),22,%,Valuation,Screener
Stock Price CAGR (1 Year),19,%,Valuation,Screener
Return on Equity (10 Years),18,%,Profitability,Screener
Return on Equity (5 Years),19,%,Profitability,Screener
Return on Equity (3 Years),19,%,Profitability,Screener
Return on Equity (Last Year),17,%,Profitability,Screener
