Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),13,%,Growth,Screener
Compounded Sales Growth (5 Years),13,%,Growth,Screener
Compounded Sales Growth (3 Years),16,%,Growth,Screener
Compounded Sales Growth (TTM),15,%,Growth,Screener
Compounded Profit Growth (10 Years),16,%,Growth,Screener
Compounded Profit Growth (5 Years),24,%,Growth,Screener
Compounded Profit Growth (3 Years),31,%,Growth,Screener
Compounded Profit Growth (TTM),20,%,Growth,Screener
Stock Price CAGR (10 Years),30,%,Valuation,Screener
Stock Price CAGR (5 Years),56,%,Valuation,Screener
Stock Price CAGR (3 Years),66,%,Valuation,Screener
Stock Price CAGR (1 Year),81,%,Valuation,Screener
Return on Equity (10 Years),23,%,Profitability,Screener
Return on Equity (5 Years),25,%,Profitability,Screener
Return on Equity (3 Years),27,%,Profitability,Screener
Return on Equity (Last Year),29,%,Profitability,Screener
